"Suburb","Rooms","Type","Price","Method","Distance","Bedroom2","Bathroom","Car","Landsize","BuildingArea","Lattitude","Longtitude","Regionname","Propertycount"
"Airport West",3,"h",770000,"SP",13.5,3,2,1,0,145,-37.7203,144.8755,"Western Metropolitan",3464
"Airport West",2,"h",603000,"S",13.5,2,1,1,272,84,-37.7294,144.888,"Western Metropolitan",3464
"Airport West",3,"t",7e+05,"S",13.5,3,2,2,239,134,-37.7218,144.8837,"Western Metropolitan",3464
"Airport West",3,"h",6e+05,"S",13.5,2,1,1,290,116,-37.7273,144.8744,"Western Metropolitan",3464
"Airport West",2,"u",5e+05,"VB",13.5,2,1,1,168,86,-37.7215,144.8864,"Western Metropolitan",3464
"Airport West",3,"h",720000,"S",13.5,2,1,1,620,129,-37.7173,144.8872,"Western Metropolitan",3464
"Airport West",4,"h",785000,"S",13.5,3,1,2,597,127,-37.7259,144.8792,"Western Metropolitan",3464
"Airport West",2,"t",450000,"S",13.5,2,1,1,110,90,-37.7216,144.871,"Western Metropolitan",3464
"Airport West",2,"u",515000,"S",13.5,2,1,1,141,73,-37.7298,144.8883,"Western Metropolitan",3464
"Airport West",2,"u",530000,"S",13.5,2,1,1,120,94,-37.7234,144.8792,"Western Metropolitan",3464
"Airport West",3,"h",805000,"S",13.5,3,1,1,0,105,-37.7217,144.8783,"Western Metropolitan",3464
"Airport West",3,"u",752000,"S",13.5,3,1,1,265,130,-37.7302,144.8855,"Western Metropolitan",3464
"Airport West",2,"u",440000,"S",13.5,2,1,1,192,85,-37.7177,144.8787,"Western Metropolitan",3464
"Airport West",5,"h",755000,"PI",13.5,3,2,2,596,240,-37.7248,144.8699,"Western Metropolitan",3464
"Airport West",3,"t",7e+05,"PI",13.5,3,2,2,165,133,-37.727,144.887,"Western Metropolitan",3464
"Airport West",3,"h",830000,"S",13.5,3,1,2,971,113,-37.7186,144.876,"Western Metropolitan",3464
"Airport West",2,"u",462500,"S",13.5,2,1,1,164,85,-37.7218,144.8863,"Western Metropolitan",3464
"Airport West",3,"h",670000,"SP",13.5,3,2,2,657,129,-37.7269,144.8742,"Western Metropolitan",3464
"Airport West",2,"h",675000,"S",13.5,2,1,1,612,100,-37.7187,144.8765,"Western Metropolitan",3464
"Airport West",3,"h",910000,"S",13.5,3,1,1,775,129,-37.7231,144.8835,"Western Metropolitan",3464
"Airport West",4,"h",773000,"S",13.5,5,3,4,531,309,-37.7263,144.8679,"Western Metropolitan",3464
"Airport West",3,"h",810000,"PI",13.5,3,3,2,555,192,-37.7285,144.8694,"Western Metropolitan",3464
"Airport West",3,"h",715000,"S",13.5,3,2,2,422,126,-37.7164,144.8792,"Western Metropolitan",3464
"Airport West",3,"h",790000,"S",13.5,3,1,3,614,129,-37.7194,144.8827,"Western Metropolitan",3464
"Airport West",3,"t",540000,"SP",13.5,2,2,1,161,101,-37.7231,144.8802,"Western Metropolitan",3464
"Airport West",3,"t",825000,"SP",13.5,3,2,1,293,102,-37.72,144.8776,"Western Metropolitan",3464
"Airport West",3,"h",685000,"S",13.5,3,1,1,579,113,-37.7226,144.8733,"Western Metropolitan",3464
"Airport West",3,"h",805000,"S",13.5,3,1,1,623,129,-37.7184,144.882,"Western Metropolitan",3464
"Airport West",2,"u",510000,"S",13.5,2,1,1,141,76,-37.7202,144.8797,"Western Metropolitan",3464
"Airport West",3,"h",612000,"S",13.5,3,2,1,212,129,-37.7181,144.8824,"Western Metropolitan",3464
"Airport West",3,"h",662000,"S",13.5,3,1,2,612,129,-37.7169,144.8815,"Western Metropolitan",3464
"Airport West",4,"h",978000,"S",13.5,4,3,2,532,187,-37.7263,144.869,"Western Metropolitan",3464
"Airport West",3,"h",720000,"PI",13.5,3,1,1,585,129,-37.72,144.878,"Western Metropolitan",3464
"Airport West",4,"h",765000,"S",13.5,4,1,2,509,187,-37.7261,144.8785,"Western Metropolitan",3464
"Airport West",4,"h",9e+05,"S",13.5,4,2,3,628,146,-37.7256,144.8739,"Western Metropolitan",3464
"Albert Park",2,"h",1275000,"S",3.3,2,1,0,120,82,-37.8459,144.9555,"Southern Metropolitan",3280
"Albert Park",2,"h",1455000,"S",3.3,2,1,0,159,85,-37.845,144.9538,"Southern Metropolitan",3280
"Albert Park",3,"h",1850000,"S",3.3,3,2,0,128,133,-37.8452,144.9488,"Southern Metropolitan",3280
"Albert Park",2,"h",1436000,"S",3.3,2,1,0,130,81,-37.8431,144.9565,"Southern Metropolitan",3280
"Albert Park",2,"h",1110000,"S",3.3,1,1,0,147,85,-37.8444,144.9484,"Southern Metropolitan",3280
"Albert Park",2,"h",1550000,"S",3.3,2,1,1,167,85,-37.8405,144.9521,"Southern Metropolitan",3280
"Albert Park",4,"h",2300000,"S",3.3,4,2,1,153,180,-37.8447,144.9523,"Southern Metropolitan",3280
"Albert Park",3,"t",1550000,"VB",3.3,3,2,2,718,129,-37.8443,144.9598,"Southern Metropolitan",3280
"Albert Park",3,"h",1800000,"VB",3.3,3,2,1,132,159,-37.8415,144.952,"Southern Metropolitan",3280
"Albert Park",2,"h",2120000,"S",3.3,2,1,1,199,107,-37.8422,144.9554,"Southern Metropolitan",3280
"Albert Park",3,"h",1800000,"VB",3.3,3,1,1,253,129,-37.8443,144.9579,"Southern Metropolitan",3280
"Albert Park",3,"h",1800000,"S",3.3,3,2,1,90,122,-37.8421,144.9571,"Southern Metropolitan",3280
"Albert Park",2,"h",1810000,"PI",3.3,2,1,0,240,85,-37.8379,144.9539,"Southern Metropolitan",3280
"Albert Park",3,"h",2615000,"S",3.3,3,2,1,177,181,-37.8415,144.9585,"Southern Metropolitan",3280
"Albert Park",5,"h",2100000,"S",3.3,5,2,1,237,240,-37.8436,144.9557,"Southern Metropolitan",3280
"Albert Park",3,"h",1300000,"S",3.3,3,1,0,129,129,-37.8422,144.949,"Southern Metropolitan",3280
"Albert Park",3,"h",1370000,"S",3.3,3,2,2,0,85,-37.8451,144.9511,"Southern Metropolitan",3280
"Albert Park",2,"h",1e+06,"S",3.3,2,1,0,288,85,-37.8407,144.9523,"Southern Metropolitan",3280
"Albert Park",3,"h",2575000,"S",3.3,3,2,1,228,129,-37.8445,144.9501,"Southern Metropolitan",3280
"Albert Park",2,"h",1322500,"S",3.3,2,1,0,149,98,-37.8443,144.9481,"Southern Metropolitan",3280
"Albert Park",2,"h",1562500,"S",3.3,2,1,0,141,83,-37.8424,144.9562,"Southern Metropolitan",3280
"Albert Park",3,"h",2e+06,"VB",3.3,3,2,1,211,147,-37.847,144.9575,"Southern Metropolitan",3280
"Albert Park",3,"h",1900000,"S",3.3,3,1,0,209,129,-37.8468,144.9546,"Southern Metropolitan",3280
"Albert Park",2,"u",647000,"S",3.3,2,1,1,0,85,-37.846,144.9542,"Southern Metropolitan",3280
"Albert Park",3,"h",2100000,"SP",3.3,2,1,1,120,123,-37.8427,144.9546,"Southern Metropolitan",3280
"Albert Park",3,"h",2e+06,"PI",3.3,3,1,1,238,131,-37.8461,144.9528,"Southern Metropolitan",3280
"Albert Park",1,"u",442500,"S",3.3,1,1,0,0,34,-37.8421,144.9517,"Southern Metropolitan",3280
"Albert Park",2,"h",1340000,"S",3.3,2,1,0,136,85,-37.846,144.9517,"Southern Metropolitan",3280
"Albert Park",3,"h",1801000,"S",3.3,3,1,1,202,129,-37.8429,144.9493,"Southern Metropolitan",3280
"Albert Park",3,"h",1532000,"S",3.3,3,3,1,0,129,-37.8415,144.9585,"Southern Metropolitan",3280
"Albert Park",4,"h",2140000,"S",3.3,3,2,1,183,145,-37.8434,144.9495,"Southern Metropolitan",3280
"Albert Park",2,"h",1750000,"S",3.3,2,1,1,162,85,-37.8416,144.9488,"Southern Metropolitan",3280
"Albert Park",2,"h",980000,"S",3.3,2,1,0,79,68,-37.8387,144.9519,"Southern Metropolitan",3280
"Albert Park",3,"h",2030000,"S",3.3,3,2,0,152,129,-37.8488,144.9551,"Southern Metropolitan",3280
"Albert Park",3,"h",1740000,"PI",3.3,3,2,2,147,134,-37.8448,144.9453,"Southern Metropolitan",3280
"Albert Park",1,"h",985000,"S",3.3,1,1,0,81,54,-37.8411,144.9497,"Southern Metropolitan",3280
"Alphington",4,"h",2e+06,"S",6.4,3,2,4,853,263,-37.7707,145.0318,"Northern Metropolitan",2211
"Alphington",3,"h",1110000,"S",6.4,3,2,2,208,129,-37.7854,145.0325,"Northern Metropolitan",2211
"Alphington",3,"h",1492000,"S",6.4,3,2,2,411,129,-37.7713,145.0279,"Northern Metropolitan",2211
"Alphington",4,"h",1717500,"S",6.4,4,2,1,599,203,-37.7717,145.031,"Northern Metropolitan",2211
"Alphington",2,"u",525500,"S",6.4,2,1,1,88,60,-37.7791,145.0306,"Northern Metropolitan",2211
"Alphington",2,"t",805000,"S",6.4,2,2,3,155,140,-37.7804,145.0308,"Northern Metropolitan",2211
"Alphington",2,"u",465000,"S",6.4,2,1,1,0,85,-37.7773,145.0314,"Northern Metropolitan",2211
"Alphington",3,"h",2e+06,"PI",6.4,3,3,2,686,129,-37.78,145.0341,"Northern Metropolitan",2211
"Alphington",3,"h",1540000,"S",6.4,3,1,2,592,129,-37.7755,145.0288,"Northern Metropolitan",2211
"Alphington",2,"u",820000,"S",6.4,2,1,1,183,85,-37.7747,145.0264,"Northern Metropolitan",2211
"Alphington",4,"h",1830000,"S",6.4,4,2,2,606,112,-37.7743,145.0316,"Northern Metropolitan",2211
"Alphington",4,"h",2100000,"S",6.4,4,2,2,575,271,-37.7723,145.0319,"Northern Metropolitan",2211
"Alphington",3,"h",865000,"SP",6.4,3,1,1,180,131,-37.7802,145.0243,"Northern Metropolitan",2211
"Alphington",2,"u",390000,"VB",6.4,2,1,1,0,60,-37.7773,145.0314,"Northern Metropolitan",2211
"Alphington",2,"t",650000,"SP",6.4,0,1,0,0,85,-37.7848,145.025,"Northern Metropolitan",2211
"Alphington",2,"u",512000,"S",6.4,2,1,1,0,61,-37.7805,145.0262,"Northern Metropolitan",2211
"Alphington",3,"h",1165000,"S",6.4,3,1,2,979,129,-37.7792,145.029,"Northern Metropolitan",2211
"Alphington",4,"h",1900000,"SP",6.4,4,2,2,556,272,-37.7844,145.0225,"Northern Metropolitan",2211
"Alphington",3,"h",1485000,"SP",6.4,3,0,0,597,129,-37.7781,145.0284,"Northern Metropolitan",2211
"Alphington",4,"h",1950000,"S",6.4,4,2,3,589,210,-37.7719,145.0309,"Northern Metropolitan",2211
"Altona",3,"h",520000,"VB",13.8,3,2,1,352,242,-37.87,144.825,"Western Metropolitan",5301
"Altona",5,"h",1525000,"S",13.8,5,3,3,729,268,-37.8721,144.8105,"Western Metropolitan",5301
"Altona",2,"t",720000,"S",13.8,2,1,2,292,125,-37.8687,144.8197,"Western Metropolitan",5301
"Altona",3,"h",1120000,"S",13.8,3,1,2,506,120,-37.8693,144.8375,"Western Metropolitan",5301
"Altona",4,"h",780000,"PI",13.8,4,1,4,655,187,-37.868,144.8154,"Western Metropolitan",5301
"Altona",3,"u",630000,"S",13.8,2,1,2,311,94,-37.8702,144.8143,"Western Metropolitan",5301
"Altona",2,"u",406000,"SP",13.8,2,1,1,65,85,-37.8693,144.8171,"Western Metropolitan",5301
"Altona",3,"h",660000,"VB",13.8,3,1,1,602,123,-37.8616,144.8116,"Western Metropolitan",5301
"Altona",3,"h",683500,"S",13.8,3,1,1,530,129,-37.8594,144.817,"Western Metropolitan",5301
"Altona",2,"u",580000,"S",13.8,2,1,1,225,93,-37.8696,144.827,"Western Metropolitan",5301
"Altona",3,"h",1335000,"S",13.8,3,1,4,777,22,-37.8697,144.8249,"Western Metropolitan",5301
"Altona",3,"t",8e+05,"SP",13.8,3,2,2,280,129,-37.8734,144.8143,"Western Metropolitan",5301
"Altona",2,"u",510000,"S",13.8,2,1,1,127,76,-37.8686,144.8182,"Western Metropolitan",5301
"Altona",4,"h",1070000,"S",13.8,4,2,2,695,187,-37.8733,144.8147,"Western Metropolitan",5301
"Altona",2,"u",425000,"S",13.8,2,1,2,115,57,-37.871,144.8185,"Western Metropolitan",5301
"Altona",3,"u",605000,"S",13.8,3,2,2,230,129,-37.8646,144.827,"Western Metropolitan",5301
"Altona",3,"t",705000,"S",13.8,3,2,2,197,152,-37.8579,144.8181,"Western Metropolitan",5301
"Altona",2,"u",391000,"SP",13.8,2,1,1,0,65,-37.8678,144.8384,"Western Metropolitan",5301
"Altona",2,"u",440000,"SP",13.8,2,1,1,0,85,-37.8659,144.831,"Western Metropolitan",5301
"Altona",4,"h",845000,"S",13.8,4,1,2,745,130,-37.8658,144.8155,"Western Metropolitan",5301
"Altona",3,"t",743000,"SP",13.8,3,2,2,211,176,-37.8698,144.816,"Western Metropolitan",5301
"Altona",3,"u",730000,"SP",13.8,3,2,1,69,141,-37.868,144.8286,"Western Metropolitan",5301
"Altona",3,"h",635000,"S",13.8,3,1,4,625,129,-37.8611,144.8114,"Western Metropolitan",5301
"Altona",2,"u",620000,"SP",13.8,2,1,1,168,85,-37.8676,144.8202,"Western Metropolitan",5301
"Altona",2,"u",447000,"S",13.8,2,1,1,137,77,-37.8655,144.8299,"Western Metropolitan",5301
"Altona",3,"u",730000,"SP",13.8,3,2,1,70,129,-37.868,144.8287,"Western Metropolitan",5301
"Altona",3,"h",678000,"S",13.8,3,1,2,606,87,-37.8608,144.8124,"Western Metropolitan",5301
"Altona",2,"u",580000,"PI",13.8,2,2,1,175,76,-37.8687,144.8268,"Western Metropolitan",5301
"Altona",3,"h",712000,"S",13.8,3,1,2,363,129,-37.8674,144.8375,"Western Metropolitan",5301
"Altona",3,"h",840000,"SP",13.8,3,2,2,534,136,-37.86,144.8245,"Western Metropolitan",5301
"Altona",3,"h",980000,"S",13.8,3,1,2,724,129,-37.8672,144.817,"Western Metropolitan",5301
"Altona",3,"t",605100,"S",13.8,3,2,0,265,129,-37.8583,144.8172,"Western Metropolitan",5301
"Altona",3,"h",880000,"PI",13.8,3,3,1,577,129,-37.8699,144.8235,"Western Metropolitan",5301
"Altona",3,"u",577000,"S",13.8,3,2,1,205,113,-37.8684,144.815,"Western Metropolitan",5301
"Altona",4,"h",1030000,"S",13.8,4,1,0,797,187,-37.8663,144.8387,"Western Metropolitan",5301
"Altona",3,"u",605000,"S",13.8,3,1,2,181,129,-37.8659,144.822,"Western Metropolitan",5301
"Altona",3,"h",753000,"S",13.8,3,2,2,529,129,-37.8612,144.8247,"Western Metropolitan",5301
"Altona",2,"h",857000,"SP",13.8,2,2,1,675,100,-37.8653,144.8129,"Western Metropolitan",5301
"Altona",3,"h",1500000,"S",13.8,3,1,1,929,129,-37.8651,144.832,"Western Metropolitan",5301
"Altona",3,"u",730000,"SP",13.8,3,2,1,70,3,-37.868,144.8285,"Western Metropolitan",5301
"Altona",3,"h",9e+05,"S",13.8,3,1,4,697,129,-37.871,144.8075,"Western Metropolitan",5301
"Altona",3,"h",740000,"S",13.8,3,1,2,604,129,-37.8631,144.8195,"Western Metropolitan",5301
"Altona",4,"h",931000,"S",13.8,4,2,3,532,187,-37.8637,144.8365,"Western Metropolitan",5301
"Altona",2,"h",535600,"SP",13.8,2,1,1,154,91,-37.8646,144.8272,"Western Metropolitan",5301
"Altona North",3,"h",781000,"S",11.1,3,1,2,533,117,-37.8291,144.835,"Western Metropolitan",5132
"Altona North",3,"h",750000,"SP",11.1,3,1,3,554,129,-37.8449,144.85,"Western Metropolitan",5132
"Altona North",2,"t",421000,"S",11.1,2,1,1,77,77,-37.8351,144.8529,"Western Metropolitan",5132
"Altona North",3,"h",1405000,"S",11.1,3,1,3,655,129,-37.8338,144.8562,"Western Metropolitan",5132
"Altona North",3,"h",683000,"S",11.1,3,1,2,534,167,-37.8284,144.8355,"Western Metropolitan",5132
"Altona North",3,"h",623000,"S",11.1,3,1,3,540,129,-37.8267,144.8368,"Western Metropolitan",5132
"Altona North",3,"h",720000,"VB",11.1,3,2,1,0,130,-37.8379,144.8583,"Western Metropolitan",5132
"Altona North",3,"h",588000,"S",11.1,3,1,1,328,118,-37.838,144.8555,"Western Metropolitan",5132
"Altona North",3,"h",710000,"PI",11.1,3,1,3,540,116,-37.8294,144.8378,"Western Metropolitan",5132
"Altona North",4,"h",875000,"SP",11.1,3,1,4,559,169,-37.8448,144.8529,"Western Metropolitan",5132
"Altona North",3,"h",7e+05,"VB",11.1,3,1,3,554,129,-37.8449,144.85,"Western Metropolitan",5132
"Altona North",2,"t",640000,"S",11.1,2,1,1,252,85,-37.8397,144.8602,"Western Metropolitan",5132
"Altona North",4,"h",650000,"SP",11.1,4,1,4,558,187,-37.8451,144.8529,"Western Metropolitan",5132
"Altona North",3,"h",675000,"S",11.1,3,2,2,171,109,-37.8337,144.8554,"Western Metropolitan",5132
"Altona North",3,"h",708000,"S",11.1,3,1,2,585,97,-37.8258,144.8523,"Western Metropolitan",5132
"Altona North",4,"h",965000,"SP",11.1,4,1,4,851,187,-37.8345,144.8444,"Western Metropolitan",5132
"Altona North",3,"h",680000,"S",11.1,3,1,3,551,129,-37.8254,144.8514,"Western Metropolitan",5132
"Altona North",3,"h",770000,"SP",11.1,3,1,3,602,603,-37.8327,144.8451,"Western Metropolitan",5132
"Altona North",3,"h",923000,"S",11.1,3,1,2,740,129,-37.8269,144.8455,"Western Metropolitan",5132
"Altona North",4,"h",693000,"SP",11.1,4,2,4,315,170,-37.8391,144.8467,"Western Metropolitan",5132
"Altona North",3,"h",620000,"SP",11.1,5,2,2,276,100,-37.8262,144.8443,"Western Metropolitan",5132
"Altona North",3,"h",728500,"S",11.1,3,1,1,531,157,-37.8277,144.8385,"Western Metropolitan",5132
"Altona North",3,"h",931000,"S",11.1,3,2,1,590,160,-37.8382,144.8649,"Western Metropolitan",5132
"Altona North",3,"h",988000,"S",11.1,3,1,4,715,129,-37.8423,144.8632,"Western Metropolitan",5132
"Altona North",3,"h",590000,"S",11.1,3,1,2,561,129,-37.8444,144.8491,"Western Metropolitan",5132
"Altona North",2,"h",610000,"S",11.1,2,1,2,691,85,-37.834,144.8553,"Western Metropolitan",5132
"Altona North",3,"h",815000,"S",11.1,3,2,3,555,130,-37.8318,144.8388,"Western Metropolitan",5132
"Altona North",4,"h",970000,"S",11.1,4,1,2,708,187,-37.833,144.8494,"Western Metropolitan",5132
"Altona North",4,"h",760000,"S",11.1,4,1,3,668,187,-37.8262,144.8439,"Western Metropolitan",5132
"Altona North",4,"t",847500,"S",11.1,4,3,1,252,187,-37.8393,144.8568,"Western Metropolitan",5132
"Altona North",4,"h",1200000,"SP",11.1,4,1,4,633,158,-37.8375,144.8541,"Western Metropolitan",5132
"Altona North",3,"h",7e+05,"SP",11.1,3,1,1,557,129,-37.8441,144.8505,"Western Metropolitan",5132
"Altona North",3,"h",625000,"PI",11.1,3,1,1,536,129,-37.8285,144.8351,"Western Metropolitan",5132
"Altona North",2,"u",292000,"S",11.1,2,1,1,153,70,-37.8332,144.8649,"Western Metropolitan",5132
"Armadale",2,"u",599000,"S",6.3,2,1,1,0,76,-37.8543,145.0262,"Southern Metropolitan",4836
"Armadale",2,"u",550000,"VB",6.3,2,1,0,861,85,-37.8539,145.0284,"Southern Metropolitan",4836
"Armadale",3,"u",995000,"S",6.3,3,2,2,0,100,-37.8552,145.016,"Southern Metropolitan",4836
"Armadale",3,"t",1205000,"S",6.3,3,2,2,101,105,-37.854,145.0135,"Southern Metropolitan",4836
"Armadale",3,"h",1939000,"S",6.3,3,2,2,296,150,-37.8614,145.0274,"Southern Metropolitan",4836
"Armadale",1,"u",421500,"S",6.3,1,1,0,0,49,-37.853,145.0167,"Southern Metropolitan",4836
"Armadale",3,"h",1870000,"S",6.3,3,1,1,217,116,-37.8592,145.0182,"Southern Metropolitan",4836
"Armadale",2,"u",678000,"S",6.3,2,1,2,0,85,-37.8538,145.0127,"Southern Metropolitan",4836
"Armadale",3,"t",1918000,"SP",6.3,3,2,2,0,165,-37.8537,145.0267,"Southern Metropolitan",4836
"Armadale",2,"u",660000,"SP",6.3,2,1,1,0,85,-37.8619,145.0257,"Southern Metropolitan",4836
"Armadale",3,"h",2050000,"S",6.3,3,2,1,205,116,-37.8574,145.0281,"Southern Metropolitan",4836
"Armadale",2,"u",7e+05,"VB",6.3,2,1,2,0,85,-37.8552,145.016,"Southern Metropolitan",4836
"Armadale",2,"u",825000,"S",6.3,2,1,1,0,85,-37.8528,145.0268,"Southern Metropolitan",4836
"Armadale",3,"t",1586000,"S",6.3,2,2,2,246,129,-37.8566,145.0116,"Southern Metropolitan",4836
"Armadale",2,"u",645000,"S",6.3,3,1,1,0,85,-37.8596,145.0198,"Southern Metropolitan",4836
"Armadale",1,"h",1435000,"SP",6.3,2,2,1,144,107,-37.8564,145.0228,"Southern Metropolitan",4836
"Armadale",1,"u",280000,"PI",6.3,1,1,1,0,38,-37.8619,145.0185,"Southern Metropolitan",4836
"Armadale",1,"u",4e+05,"PI",6.3,1,1,1,0,49,-37.8605,145.0185,"Southern Metropolitan",4836
"Armadale",2,"h",1780000,"S",6.3,2,2,2,0,85,-37.8537,145.0267,"Southern Metropolitan",4836
"Armadale",2,"u",592500,"S",6.3,2,1,1,0,73,-37.8574,145.0174,"Southern Metropolitan",4836
"Armadale",2,"h",1210000,"S",6.3,2,1,0,249,96,-37.8543,145.016,"Southern Metropolitan",4836
"Armadale",1,"u",390000,"S",6.3,1,1,0,881,49,-37.8614,145.0222,"Southern Metropolitan",4836
"Armadale",3,"h",1800000,"PI",6.3,3,2,2,405,121,-37.8545,145.0145,"Southern Metropolitan",4836
"Armadale",4,"h",2200000,"PI",6.3,4,1,2,495,163,-37.8613,145.0264,"Southern Metropolitan",4836
"Armadale",1,"u",324000,"S",6.3,1,1,1,0,49,-37.8537,145.0114,"Southern Metropolitan",4836
"Armadale",2,"h",1125000,"S",6.3,3,1,2,169,85,-37.851,145.0161,"Southern Metropolitan",4836
"Armadale",3,"h",2250000,"S",6.3,3,3,1,301,129,-37.8511,145.0167,"Southern Metropolitan",4836
"Armadale",3,"h",2360000,"S",6.3,3,2,0,336,129,-37.8558,145.015,"Southern Metropolitan",4836
"Armadale",2,"h",1900000,"VB",6.3,2,2,0,207,85,-37.8571,145.0224,"Southern Metropolitan",4836
"Armadale",1,"u",440000,"SP",6.3,1,1,1,0,53,-37.8531,145.0115,"Southern Metropolitan",4836
"Armadale",2,"u",490000,"PI",6.3,2,1,1,0,85,-37.8646,145.0247,"Southern Metropolitan",4836
"Armadale",3,"h",2365000,"S",6.3,3,2,1,316,129,-37.8521,145.019,"Southern Metropolitan",4836
"Armadale",3,"h",1300000,"VB",6.3,2,1,2,212,106,-37.8542,145.0149,"Southern Metropolitan",4836
"Armadale",3,"u",732000,"S",6.3,3,2,2,0,129,-37.8597,145.0104,"Southern Metropolitan",4836
"Armadale",2,"u",704000,"SP",6.3,2,1,1,0,74,-37.8573,145.0186,"Southern Metropolitan",4836
"Armadale",2,"u",620000,"VB",6.3,3,1,1,0,98,-37.8596,145.0198,"Southern Metropolitan",4836
"Armadale",3,"h",1900000,"S",6.3,3,1,2,328,108,-37.8559,145.0158,"Southern Metropolitan",4836
